Title,Issue,Pedigree,Publisher,Year,Grader,Grade,Page Quality
Ghost Rider,1,Mile High pedigree,Magazine Enterprises,1950,CGC,NM+ 9.6,Off-white to white pages.
Green Lantern,36,Mile High pedigree,DC,1949,CGC,VF/NM 9.0,White pages.
Ibis The Invincible,2,Mile High pedigree,Fawcett,1943,CGC,NM+ 9.6,Off-white to white pages.
Ibis The Invincible,3,Mile High pedigree,Fawcett,1943,CGC,NM+ 9.6,Off-white pages.
Joker Comics,26,Mile High pedigree,Timely,1947,CGC,NM- 9.2,Off-white pages.
Jungle Tales,5,Mile High pedigree,Atlas,1955,CGC,NM 9.4,White pages.
Katy Keene,5,Mile High pedigree,Archie,1952,CGC,NM- 9.2,White pages.
Krazy Komics,13,Mile High pedigree,Timely,1944,CGC,NM- 9.2,Off-white pages.
Lance O'Casey,4,Mile High pedigree,Fawcett,1948,CGC,NM/MT 9.8,Off-white pages.
Latest Comics,2,Mile High pedigree,Spotlight/Palace,1945,CGC,NM/MT 9.8,Off-white pages.
Leading Comics,7,Mile High pedigree,DC,1943,CGC,NM+ 9.6,White pages.
Little Miss Muffet,11,Mile High pedigree,Best Books,1948,CGC,NM 9.4,White pages.
Lone Ranger,3,Mile High pedigree,Dell,1948,CGC,NM 9.4,Off-white to white pages.
Major Hoople Comics,1,Mile High pedigree,Nedor Publications,1943,CGC,NM 9.4,Off-white pages.
Mary Marvel Comics,3,Mile High pedigree,Fawcett Publications,1946,CGC,NM+ 9.6,Off-white pages.
Military Comics,16,Mile High pedigree,Quality,1943,CGC,NM 9.4,White pages.
Miss Beverly Hills of Hollywood,5,Edgar Church (Mile High) pedigree,DC,1949,CGC,VF+ 8.5,"The Great Lover Bob Hope enc..."
More Fun Comics,118,Mile High pedigree,DC,1947,CGC,NM 9.4,Off-white to white pages.
More Fun Comics,59,Mile High pedigree,DC,1940,CGC,NM 9.4,Off-white to white pages.
More Fun Comics,93,Mile High pedigree,DC,1943,CGC,NM+ 9.6,Off-white to white pages.
Movie Comics,4,Mile High pedigree,Fiction House,1947,CGC,NM 9.4,White pages.
OK Comics,2,Mile High pedigree,United Features Syndicate,1940,CGC,NM 9.4,Off-white to white pages.
Oscar Comics,3,Mile High pedigree,Timely,1947,CGC,NM- 9.2,Off-white to white pages.
Patsy Walker,21,Mile High pedigree,Atlas,1949,CGC,VF- 7.5,Off-white to white pages.
Plastic Man,4,Mile High pedigree,Quality,1946,CGC,NM 9.4,Off-white to white pages.
Plastic Man,16,Mile High pedigree,Quality,1949,CGC,NM+ 9.6,Off-white to white pages.
Plastic Man,18,Mile High pedigree,Quality,1949,CGC,NM+ 9.6,Off-white to white pages.
Police Comics,17,Mile High pedigree,Quality,1943,CGC,NM- 9.2,Off-white to white pages.
