title,Issue,MHC Grade,MHC Price,CGC Grade,Page Quality,Note,Year,Publisher
adventure comics ,58,NL ,,9,OW-W , ,1941,D.C. Comics
adventure comics ,61,NL ,,9.4,W ,Slight (P) moderate CT tear seal ,1941,D.C. Comics
adventure comics,68,NM+,$150.00 ,,,,,
adventure comics,69,NM+,$200.00 ,,,,,
adventure comics ,72,NL ,,9.8,W ,Old grade NM+9.6 -  ,1942,D.C. Comics
adventure comics ,75,NL ,,9.4,W , ,1942,D.C. Comics
adventure comics ,76,NL ,,9.6,OW-W , ,1942,D.C. Comics
adventure comics ,77,NL ,,9.8,W , ,1942,D.C. Comics
adventure comics ,78,NL ,,9.2,W , ,1942,D.C. Comics
adventure comics ,79,NL ,,9.6,W , ,1942,D.C. Comics
adventure comics ,80,NL ,,9.6,W , ,1942,D.C. Comics
adventure comics,83,NM+,$150.00 ,,,,,
adventure comics,84,NM,$120.00 ,,,,,
adventure comics ,85,NL ,,9.2,W , ,1943,D.C. Comics
adventure comics,86,NM+,$150.00 ,,,,,
adventure comics ,89,NM+ ,$150.00 ,9.2,W , ,1944,D.C. Comics
adventure comics ,90,NL ,,9.2,W , ,1944,D.C. Comics
adventure comics,92,NM+,$150.00 ,,,,,
adventure comics ,97,NL ,,9.8,W , ,1945,D.C. Comics
adventure comics,99,G,$11.00 ,,,,,
adventure comics ,100,NL ,,9.2,OW-W , ,1945,D.C. Comics
adventure comics ,103,NL ,,9.6,OW-W , ,1946,D.C. Comics
adventure comics,106,NM,$35.00 ,,,,,
adventure comics,108,NM+,$45.00 ,,,,,
adventure comics,111,FN,$18.00 ,,,,,
adventure comics ,114,NL ,,7,OW-W , ,1947,D.C. Comics
adventure comics,116,NM,$30.00 ,,,,,
adventure comics,118,NM+,$35.00 ,,,,,
adventure comics ,119,NM+ ,$35.00 ,9.6,W , ,1947,D.C. Comics
adventure comics,120,FN,$18.00 ,,,,,
adventure comics,121,FN,$18.00 ,,,,,
adventure comics,123,NM+,$30.00 ,,,,,
adventure comics,124,NM+,$30.00 ,,,,,
adventure comics,126,NM+,$30.00 ,,,,,
adventure comics,128,NM,$25.00 ,,,,,
adventure comics,132,VG,$7.00 ,,,,,
adventure comics,133,FN,$11.00 ,,,,,
adventure comics,134,FN,$11.00 ,,,,,
adventure comics,135,NM,$15.00 ,,,,,
